repo,status
KDE/qqc2-desktop-style,Pass
KDE/kdewin-tools,Pass
KDE/brooklyn,Error
KDE/gcompris-data,Error
KDE/craftmaster,Error
KDE/kdav2,Pass
KDE/ruqola,Error
KDE/kdev-rust,Error
KDE/yocto-meta-kf5,Error
KDE/libqaccessibilityclient,Pass
KDE/yocto-meta-kde,Error
KDE/xdg-portal-test-kde,Pass
KDE/kmarkdownwebview,Pass
KDE/falkon,Pass
KDE/craft-blueprints-kde,Error
KDE/latte-dock,Pass
KDE/appimage-packaging,Error
KDE/rust-qt-binding-generator,Pass
KDE/drkonqi,Error
KDE/atlantik,Pass
KDE/ktexteditorpreviewplugin,Pass
KDE/plasma-redshift-control,Pass
KDE/plasma-active-window-control,Pass
KDE/liquidshell,Pass
KDE/plasma-simplemenu,Pass
KDE/kobjecttracking,Error
KDE/symmy,Error
KDE/kdev-cargo,Error
KDE/babe-qml,Error
KDE/kbackup,Pass
KDE/kuickshow,Error
KDE/ocs-apiserver,Error
KDE/kdiff3,Error
KDE/kbibtex-testset,Error
KDE/kpkpass,Pass
KDE/pulseaudio-qt,Error
KDE/vvave,Error
KDE/wikitolearn-sdk,Error
KDE/wikitolearn-course-midtier,Error
KDE/wikitolearn-pwa-gateway,Error
KDE/wikitolearn-courses-backend,Error
KDE/wikitolearn-pages-backend,Error
KDE/wikitolearn-chapters-backend,Error
KDE/wikitolearn-shared-services,Error
KDE/wikitolearn-frontend,Error
KDE/kitinerary,Error
KDE/itinerary,Error
KDE/buho,Pass
KDE/index-fm,Pass
KDE/distro-release-notifier,Pass
KDE/kirigami-gallery,Pass
KDE/washipad,Pass
KDE/nota,Pass
KDE/plasma-mycroft-mobile,Pass
KDE/kitinerary-workbench,Pass
KDE/mauikit,Error
KDE/nomad-style,Error
KDE/keurocalc,Pass
KDE/akademy-badges,Error
KDE/akademy-checkin,Error
KDE/calligraplan,Pass
KDE/kquickitemviews,Pass
KDE/plasma-pass,Pass
KDE/kookbook,Pass
KDE/kolorfill,Pass
KDE/kexi-extras,Error
KDE/kde2,Error
KDE/kde2-kdelibs,Error
KDE/kde1,Error
KDE/qt2,Error
KDE/libkimageannotator,Pass
KDE/kpublictransport,Error
KDE/cutehmi,Error
KDE/cutehmi-doxygen,Error
KDE/rcse,Error
KDE/rcharactersheet,Error
KDE/rolisteam,Error
KDE/rolisteam-common,Error
KDE/rolisteam-diceparser,Pass
KDE/rolisteam-packaging,Error
KDE/rolisteam-plugins,Error
KDE/rolisteam-community-data,Error
KDE/maui-station,Pass
KDE/maui-library,Error
KDE/maui-union,Pass
KDE/maui-pix,Pass
KDE/snap-kf5-launcher,Error
KDE/snap-kf5,Error
KDE/maui-libwebdavclient,Pass
KDE/maui-accounts,Error
KDE/kaidan,Error
KDE/plasma-thunderbolt,Error
KDE/ktimetracker,Pass
KDE/maui-libdavclient,Pass
KDE/maui-accounts-dbus-daemon,Pass
KDE/pology,Pass
KDE/kde-vdg-extras,Error
KDE/maui-accounts-gui,Error
KDE/calindori,Pass
KDE/maui-dialer,Error
KDE/ktrip,Pass
KDE/kup,Pass
KDE/upnp-lib-qt,Error
KDE/kirogi,Error
KDE/kirigami-addons,Pass
KDE/kf5quickcharts,Pass
KDE/ikona,Pass
KDE/plasma-nano,Pass
KDE/plasma-phonebook,Error
